customer_id,zipcode,city,state_code,datetime_created,datetime_updated
30,5528,sao paulo,SP,10/18/2017 0:00,10/18/2017 0:00
31,12235,sao jose dos campos,SP,10/18/2017 0:00,10/18/2017 0:00
32,18130,sao roque,SP,10/18/2017 0:00,10/18/2017 0:00
33,42800,camacari,BA,10/18/2017 0:00,10/18/2017 0:00
34,27525,resende,RJ,10/18/2017 0:00,10/18/2017 0:00
35,81750,curitiba,PR,10/18/2017 0:00,10/18/2017 0:00
36,13175,sumare,SP,10/18/2017 0:00,10/18/2017 0:00
37,7170,guarulhos,SP,10/18/2017 0:00,10/18/2017 0:00
38,93415,novo hamburgo,RS,10/18/2017 0:00,10/18/2017 0:00
39,65075,sao luis,MA,10/18/2017 0:00,10/18/2017 0:00
40,88104,sao jose,SC,10/18/2017 0:00,10/18/2017 0:00
41,7176,guarulhos,SP,10/18/2017 0:00,10/18/2017 0:00
42,35960,santa barbara,MG,10/18/2017 0:00,10/18/2017 0:00
43,5727,sao paulo,SP,10/18/2017 0:00,10/18/2017 0:00
44,7053,guarulhos,SP,10/18/2017 0:00,10/18/2017 0:00
45,14026,ribeirao preto,SP,10/18/2017 0:00,10/18/2017 0:00
46,30320,belo horizonte,MG,10/18/2017 0:00,10/18/2017 0:00
47,38300,ituiutaba,MG,10/18/2017 0:00,10/18/2017 0:00
48,18740,taquarituba,SP,10/18/2017 0:00,10/18/2017 0:00
49,83085,sao jose dos pinhais,PR,10/18/2017 0:00,10/18/2017 0:00
50,89254,jaragua do sul,SC,10/18/2017 0:00,10/18/2017 0:00
51,5351,sao paulo,SP,10/18/2017 0:00,10/18/2017 0:00
52,39406,montes claros,MG,10/18/2017 0:00,10/18/2017 0:00
53,14860,barrinha,SP,10/18/2017 0:00,10/18/2017 0:00
54,21310,rio de janeiro,RJ,10/18/2017 0:00,10/18/2017 0:00
55,23970,parati,RJ,10/18/2017 0:00,10/18/2017 0:00
56,79804,dourados,MS,10/18/2017 0:00,10/18/2017 0:00
57,5017,sao paulo,SP,10/18/2017 0:00,10/18/2017 0:00
58,75388,trindade,GO,10/18/2017 0:00,10/18/2017 0:00
59,85808,cascavel,PR,10/18/2017 0:00,10/18/2017 0:00
60,60140,fortaleza,CE,10/18/2017 0:00,10/18/2017 0:00
61,72270,brasilia,DF,10/18/2017 0:00,10/18/2017 0:00
62,2075,sao paulo,SP,10/18/2017 0:00,10/18/2017 0:00
63,96015,pelotas,RS,10/18/2017 0:00,10/18/2017 0:00
64,90010,porto alegre,RS,10/18/2017 0:00,10/18/2017 0:00
65,22440,rio de janeiro,RJ,10/18/2017 0:00,10/18/2017 0:00
66,13323,salto,SP,10/18/2017 0:00,10/18/2017 0:00
67,30190,belo horizonte,MG,10/18/2017 0:00,10/18/2017 0:00
68,13212,jundiai,SP,10/18/2017 0:00,10/18/2017 0:00
69,29307,cachoeiro de itapemirim,ES,10/18/2017 0:00,10/18/2017 0:00
70,12280,cacapava,SP,10/18/2017 0:00,10/18/2017 0:00
71,60336,fortaleza,CE,10/18/2017 0:00,10/18/2017 0:00
72,11310,sao vicente,SP,10/18/2017 0:00,10/18/2017 0:00
73,38408,uberlandia,MG,10/18/2017 0:00,10/18/2017 0:00
74,37720,botelhos,MG,10/18/2017 0:00,10/18/2017 0:00
75,24431,sao goncalo,RJ,10/18/2017 0:00,10/18/2017 0:00
76,5890,sao paulo,SP,10/18/2017 0:00,10/18/2017 0:00
77,3733,sao paulo,SP,10/18/2017 0:00,10/18/2017 0:00
78,83709,araucaria,PR,10/18/2017 0:00,10/18/2017 0:00
79,11347,sao vicente,SP,10/18/2017 0:00,10/18/2017 0:00
80,26272,nova iguacu,RJ,10/18/2017 0:00,10/18/2017 0:00
81,5415,sao paulo,SP,10/18/2017 0:00,10/18/2017 0:00
82,59655,areia branca,RN,10/18/2017 0:00,10/18/2017 0:00
83,4548,sao paulo,SP,10/18/2017 0:00,10/18/2017 0:00
84,28010,campos dos goytacazes,RJ,10/18/2017 0:00,10/18/2017 0:00
85,13573,sao carlos,SP,10/18/2017 0:00,10/18/2017 0:00
86,2175,sao paulo,SP,10/18/2017 0:00,10/18/2017 0:00
87,37500,itajuba,MG,10/18/2017 0:00,10/18/2017 0:00
88,90670,porto alegre,RS,10/18/2017 0:00,10/18/2017 0:00
89,9890,sao bernardo do campo,SP,10/18/2017 0:00,10/18/2017 0:00
90,13321,salto,SP,10/18/2017 0:00,10/18/2017 0:00
91,44380,cruz das almas,BA,10/18/2017 0:00,10/18/2017 0:00
92,27700,vassouras,RJ,10/18/2017 0:00,10/18/2017 0:00
93,44033,feira de santana,BA,10/18/2017 0:00,10/18/2017 0:00
94,4537,sao paulo,SP,10/18/2017 0:00,10/18/2017 0:00
95,71540,brasilia,DF,10/18/2017 0:00,10/18/2017 0:00
96,13569,sao carlos,SP,10/18/2017 0:00,10/18/2017 0:00
97,5565,sao paulo,SP,10/18/2017 0:00,10/18/2017 0:00
98,3636,sao paulo,SP,10/18/2017 0:00,10/18/2017 0:00
99,24120,niteroi,RJ,10/18/2017 0:00,10/18/2017 0:00
100,24120,niteroi,RJ,10/18/2017 0:00,10/18/2017 0:00

82,24120,niteroi,RJ,2017-10-18 00:00:00,2017-10-18 00:10:00
83,24120,niteroi,RJ,2017-10-18 00:00:00,2017-10-18 01:20:00
84,24120,niteroi,RJ,2017-10-18 00:00:00,2017-10-18 02:00:00
85,24120,niteroi,RJ,2017-10-18 00:00:00,2017-10-18 03:00:00
86,24120,niteroi,RJ,2017-10-18 00:00:00,2017-10-18 04:00:00
